Transaction_ID,SA_ID_Number,First_Name,Last_Name,Gender,DOB,Employment_Status,Annual_Income_ZAR,Monthly_Expenses_ZAR,Credit_Score,Loan_Amount_ZAR,Loan_Term_Months,Existing_Debt_ZAR,Province,Risk_Rating
2ea3a678,7103086323089,Jabulani,Lekota,Male,1971-03-08,Employed,242185.97,4515.28,312,222231,60,126861.36,Limpopo,High
7d44336e,7212249605086,Dawid,Dlamini,Male,1972-12-24,Employed,193356.9,10116.34,847,85146,12,16908.51,KwaZulu-Natal,Low
8f584753,9411088498089,Siyabonga,Botha,Male,1994-11-08,Contractor,446724.36,20220.38,785,203081,12,69437.18,Northern Cape,Low
b419e6ec,8212289834080,Sipho,van Wyk,Male,1982-12-28,Self-Employed,343866.3,12355.42,319,194559,12,37961.75,Northern Cape,High
39a0dcce,7603083472089,Naledi,Zwane,Female,1976-03-08,Unemployed,110806.75,5752.61,509,27877,24,141515.54,KwaZulu-Natal,Medium
00d7ddbf,6104202235084,Puleng,Ndlovu,Female,1961-04-20,Student,499006.42,28678.55,436,454852,60,46355.73,Eastern Cape,High
fa24489a,8302034863087,Buhle,Ndlovu,Female,1983-02-03,Employed,285537.88,15665.91,605,21816,12,44784.69,Limpopo,Medium
aa20fffe,9908225825080,Andile,Tau,Male,1999-08-22,Student,616875.32,13508.28,761,283220,12,102723.88,Northern Cape,Low
6ed2a7c8,9101248126086,Siyabonga,Venter,Male,1991-01-24,Self-Employed,263690.12,6422.71,559,332505,36,83305.43,Northern Cape,Medium
e4abe341,8309132022088,Mieke,Ndlovu,Female,1983-09-13,Unemployed,146620.5,7015.84,713,321553,36,65373.56,Mpumalanga,Medium
48384a13,6502256620089,Dawid,Mabaso,Male,1965-02-25,Contractor,581953.22,13224.77,441,155853,36,119233.83,Eastern Cape,High
6e596e93,8911198435083,Tiaan,Tau,Male,1989-11-19,Unemployed,312573.95,14752.66,490,289282,60,71405.57,Limpopo,High
008eef50,9902196435088,Lubabalo,Viljoen,Male,1999-02-19,Contractor,546407.61,15174.55,752,435540,48,50801.69,KwaZulu-Natal,Low
e5595bcf,0106215556086,Lubabalo,Viljoen,Male,2001-06-21,Contractor,124108.26,2599.89,745,442184,48,32794.29,Mpumalanga,Low
5c068b54,0508210825081,Puleng,Moyo,Female,2005-08-21,Unemployed,345616.91,5831.05,790,244695,36,75670.63,Western Cape,Low
60e15463,7809061535088,Buhle,Viljoen,Female,1978-09-06,Student,339067.3,15411.48,440,232172,24,74499.0,Northern Cape,High
f9c94505,7903019354088,Sipho,van Wyk,Male,1979-03-01,Contractor,445949.89,14734.64,818,475960,36,91117.91,North West,Low
11fec2f1,0510108312087,Andile,Tau,Male,2005-10-10,Unemployed,412794.82,7098.05,467,449535,36,43250.76,Free State,High
7a7608de,6110167433088,Andile,Mokoena,Male,1961-10-16,Unemployed,164221.29,5570.48,754,53135,60,23277.24,Western Cape,Low
6f133f5b,8509149225083,Siyabonga,Botha,Male,1985-09-14,Student,315472.72,12074.41,534,279967,24,127112.15,Northern Cape,Medium
6096250d,8708169448081,Sipho,van Wyk,Male,1987-08-16,Contractor,669369.59,17129.33,544,291449,12,125742.21,KwaZulu-Natal,Medium
98b0dc01,7705160256089,Lerato,Lekota,Female,1977-05-16,Contractor,107348.46,3832.31,322,245405,24,20009.68,Free State,High
c5d1e6ce,0210094423088,Buhle,Lekota,Female,2002-10-09,Contractor,349717.07,14143.35,548,409611,24,8624.14,Mpumalanga,Medium
70b4a955,8804243461087,Nomvula,Zwane,Female,1988-04-24,Unemployed,467530.67,17930.09,739,308689,48,75086.25,Northern Cape,Low
6ecb6c9a,9912017605087,Zolani,Dlamini,Male,1999-12-01,Contractor,88521.95,4207.68,522,368320,60,122223.66,KwaZulu-Natal,Medium
46683c7b,0012177350085,Dawid,de Klerk,Male,2000-12-17,Employed,752742.15,42211.34,683,271506,48,140182.64,Free State,Medium
9e4ddbc1,8407043827088,Naledi,Botha,Female,1984-07-04,Self-Employed,465796.5,24340.33,770,117047,24,29809.99,Northern Cape,Low
528e2096,9405197912086,Bongani,Erasmus,Male,1994-05-19,Self-Employed,331445.25,15723.78,711,487087,48,113742.93,Northern Cape,Medium
8e9eef51,0202144409080,Nomvula,Sebele,Female,2002-02-14,Unemployed,257262.67,11785.91,429,425045,12,24030.36,KwaZulu-Natal,High
5c897e78,6704255611084,Tiaan,Mabaso,Male,1967-04-25,Employed,235901.63,7318.25,631,444761,36,42615.59,North West,Medium
ca99a03e,9003013815086,Naledi,Venter,Female,1990-03-01,Unemployed,391506.7,21710.34,339,463454,60,148900.17,Limpopo,High
92e5118b,7912247918080,Johannes,Gumede,Male,1979-12-24,Contractor,251377.52,9019.76,541,420763,48,7553.36,Limpopo,Medium
da5524fc,8809239363084,Siyabonga,Venter,Male,1988-09-23,Unemployed,383880.74,8308.44,478,10186,24,89404.97,Eastern Cape,High
78d5b3ca,6503255612088,Jabulani,Ndlovu,Male,1965-03-25,Self-Employed,167278.37,9231.64,622,18359,60,121630.75,Western Cape,Medium
b651113f,8604028596087,Andile,Louw,Male,1986-04-02,Self-Employed,350820.79,16503.54,438,181104,36,79071.69,KwaZulu-Natal,High
80ed0ec3,7504278164082,Sipho,Mabaso,Male,1975-04-27,Student,578528.6,10927.64,789,385149,36,72191.98,Mpumalanga,Low
aae20611,8006225166086,Pieter,Tau,Male,1980-06-22,Contractor,622763.8,22266.49,409,362933,12,45757.79,KwaZulu-Natal,High
b3dbe14b,9511149475082,Kabelo,Cele,Male,1995-11-14,Self-Employed,309324.44,5366.63,841,270942,24,115537.55,Western Cape,Low
b81ea886,0212130845089,Keitumetse,Mabaso,Female,2002-12-13,Contractor,692102.53,21722.59,308,333877,36,41875.73,KwaZulu-Natal,High
061e16ef,7208128104081,Pieter,Viljoen,Male,1972-08-12,Self-Employed,570708.13,25844.42,586,331636,12,120108.65,North West,Medium
53cb856f,0201097824089,Andile,Modise,Male,2002-01-09,Student,175440.75,9924.75,713,167293,12,113822.08,Western Cape,Medium
3298f124,0512239279088,Siyabonga,Pretorius,Male,2005-12-23,Self-Employed,182054.51,5038.35,377,386980,60,127806.54,Mpumalanga,High
e609e61f,7705025835083,Jabulani,Zwane,Male,1977-05-02,Contractor,324859.14,9048.9,581,283503,36,34260.64,Free State,Medium
48254ee7,7004129996084,Tiaan,Viljoen,Male,1970-04-12,Student,825054.82,23336.57,532,193327,36,93218.87,Mpumalanga,Medium
e8db0296,9502051033081,Liezel,Dlamini,Female,1995-02-05,Employed,733853.37,38472.76,654,106877,12,64210.46,KwaZulu-Natal,Medium
a1fe7ea4,6604019136082,Johannes,Pretorius,Male,1966-04-01,Self-Employed,414149.64,12580.05,583,150267,36,69945.74,Northern Cape,Medium
48910b4d,7505243377087,Naledi,Louw,Female,1975-05-24,Employed,327120.58,12437.32,685,183034,12,74252.0,Eastern Cape,Medium
ed23da7e,6211021024087,Keitumetse,van Wyk,Female,1962-11-02,Self-Employed,315417.81,6048.25,533,429664,12,74262.37,Mpumalanga,Medium
96fcdedb,7901201446085,Naledi,de Klerk,Female,1979-01-20,Self-Employed,392412.71,22887.91,362,417606,12,38951.15,Eastern Cape,High
